"","Sample_Name","Sample_ID","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Fe_mg_per_L","Fe_mg_per_kg","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","average_ssa","SpC","Temp","pH","Initial_Water_mass_g","Final_Water_mass_g","Dry_Sediment_Mass_g"
"63","EC_017_INC-D3","EC_017",-0.337,-1.071,NA,NA,"5.9","18.8","70.2","94.9","3.8","1.3",14.8885,276.3,20.8,6.19,4.06,1.87,15.98
"64","EC_017_INC-D4","EC_017",-0.108,-0.346,NA,NA,"5.9","18.8","70.2","94.9","3.8","1.3",14.8885,279.6,20.8,6.29,4.04,1.85,15.88
"65","EC_017_INC-D5","EC_017",-5.228,-16.56,0.0856987244319848,0.271457655295529,"5.9","18.8","70.2","94.9","3.8","1.3",14.8885,279.6,20.6,6.11,4.07,1.89,16.04
"66","EC_017_INC-W1","EC_017",-1.347,-4.307,0.118226731742528,0.37802792865792,"5.9","18.8","70.2","94.9","3.8","1.3",14.8885,291.9,20.8,8.66,8.5,8.5,15.89
"67","EC_017_INC-W2","EC_017",-0.801,-2.555,0.114046148255814,0.363744927845662,"5.9","18.8","70.2","94.9","3.8","1.3",14.8885,280.5,20.8,6.93,8.53,8.53,15.93
"68","EC_017_INC-W3","EC_017",-0.756,-2.399,0.115095901675779,0.365258749053279,"5.9","18.8","70.2","94.9","3.8","1.3",14.8885,280.7,20.6,6.6,8.56,8.56,16.01
"69","EC_017_INC-W4","EC_017",-0.569,-1.819,0.0948547561193969,0.303296441089636,"5.9","18.8","70.2","94.9","3.8","1.3",14.8885,279.6,20.7,6.46,8.54,8.54,15.89
"70","EC_017_INC-W5","EC_017",-0.693,-2.213,0.116462572674419,0.371918943585284,"5.9","18.8","70.2","94.9","3.8","1.3",14.8885,279.2,20.7,6.41,8.59,8.59,15.91
"71","EC_018_INC-D1","EC_018",-0.099,-0.372,NA,NA,"2.7","4.5","91.6","98.8","1.2","0",2.19533333333333,538.3,21,6.64,6.62,5.55,13.38
"72","EC_018_INC-D2","EC_018",0,0,0.0361993455285377,0.136118196728833,"2.7","4.5","91.6","98.8","1.2","0",2.19533333333333,534.1,20.09,6.59,6.63,5.63,13.38
"73","EC_018_INC-D3","EC_018",0,0,NA,NA,"2.7","4.5","91.6","98.8","1.2","0",2.19533333333333,535.7,21.2,6.64,6.61,5.58,13.36
