"","Sample_Name","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Fe_mg_per_L","Fe_mg_per_kg","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","average_ssa","SpC","Temp","pH","Initial_Water_mass_g","Final_Water_mass_g","Dry_Sediment_Mass_g","Initial_Gravimetric_Water","Final_Gravimetric_Water","Lost_Gravimetric_Water"
"38","EC_041_INC-D",-3.8116,-14.1138,0.094888055644932,0.35140662054899,7.2,31.9,55,94.1,4.1,1.8,11.21,227.36,20.54,7.356,6.272,3.524,13.756,0.455946209834889,0.25621306324363,0.199733146591259
"39","EC_041_INC-W",-126.9392,-469.3774,0.114784762947697,0.424502081074059,7.2,31.9,55,94.1,4.1,1.8,11.21,242.66,20.26,7.302,9.87,9.872,13.772,0.716659837962222,0.716804975843209,-0.000145137880986934
"40","EC_042_INC-D",-1.594,-5.56225,0.0516806224096984,0.17997058538706,6.4,11.3,77,94.7,1.3,4,7.17733333333333,118.65,20.25,7.42,5.445,3.6275,14.545,0.374355665663988,0.249390846117156,0.124964819546832
"41","EC_042_INC-W",-5.00333333333333,-17.3913333333333,0.0542373141794685,0.188478207275399,6.4,11.3,77,94.7,1.3,4,7.17733333333333,114.566666666667,20.3333333333333,7.13666666666667,8.44,8.44,14.5866666666667,0.578610605134374,0.578610605134374,0
"42","EC_044_INC-D",-0.0105,-0.03225,0.044422113150281,0.137037886029698,12,23.3,59.7,95,2.6,2.4,9.6572,84.1475,20.8,5.445,3.54,1.18,16.48,0.21480626411426,0.0716029172200779,0.143203346894182
"43","EC_044_INC-W",-4.5036,-13.9118,0.0698685350597482,0.215846809248854,12,23.3,59.7,95,2.6,2.4,9.6572,123.94,20.44,6.234,7.05,7.05,16.46,0.428311762012147,0.428311762012147,0
"44","EC_051_INC-D",-3.2334,-11.413,0.135469006215958,0.478306392933995,6,6.6,72,84.6,4.3,11.1,64.1443333333333,41.42,21.18,7.344,5.302,3.428,14.738,0.359750397427309,0.232594859140402,0.127155538286907
"45","EC_051_INC-W",-2.6802,-9.4586,0.193893527061514,0.684612969538868,6,6.6,72,84.6,4.3,11.1,64.1443333333333,44.744,20.88,7.52,9.306,9.306,14.738,0.631430511192184,0.631430511192184,0
"46","EC_052_INC-D",-3.6562,-15.7078,0.230487342088657,0.98956487096704,11.7,12.2,49.7,73.6,3.3,23.1,78.826,47.466,20.68,6.476,7.714,5.216,12.324,0.625933019302095,0.423229720711957,0.202703298590137
"47","EC_052_INC-W",-6.1128,-26.2626,0.344183306857129,1.47877437325029,11.7,12.2,49.7,73.6,3.3,23.1,78.826,55.95,20.7,6.738,10.7,10.7,12.318,0.868647807382139,0.868647807382139,0
"48","EC_053_INC-D",-0.4336,-1.609,0.0670707596360971,0.249347495862544,5.3,5.1,75.2,85.6,4.6,9.8,66.2013333333333,34.632,20.44,5.62,6.18,4.214,13.83,0.446854205592415,0.304694255321214,0.1421599502712
"49","EC_053_INC-W",-1.3188,-4.8844,0.0867248662301672,0.320904787644049,5.3,5.1,75.2,85.6,4.6,9.8,66.2013333333333,38.188,20.6,6.076,9.186,9.184,13.824,0.664497498151666,0.664351944433225,0.000145553718441249
"50","EC_056_INC-D",0,0,0.0398619186046512,0.117978683729775,3,25.3,70.2,98.5,1.5,0,2.183,21.28,20.6,5.27,2.89,0.57,17.09,0.169104739613809,0.0333528379169105,0.135751901696899
"51","EC_056_INC-W",0,0,0.0339839506540276,0.100876890142686,3,25.3,70.2,98.5,1.5,0,2.183,14.49,21,5.48,7.38,7.38,17.04,0.433098591549296,0.433098591549296,0
"52","EC_063_INC-D",-0.3064,-0.9372,0.220910249406996,0.675416547374037,6,44.3,47,97.3,1.9,0.8,2.17475,120.54,20.66,6.95,3.38,0.802,16.644,0.203076490485251,0.0481410413736619,0.154935449111589
"53","EC_063_INC-W",-5.402,-16.5322,0.323319540990272,0.989992536029375,6,44.3,47,97.3,1.9,0.8,2.17475,111.46,20.7,6.454,7.888,7.888,16.61,0.474899163242651,0.474899163242651,0
"54","EC_064_INC-D",-0.596,-3.361,0.0310976648738351,0.175352821631362,7.2,15.2,67.7,90.1,2.3,7.6,2.01433333333333,295.2,21.2,7.26,11,8.44,9,1.22222222222222,0.937777777777778,0.284444444444445
