"Sample_ID","Treat","Mean_SpC","Mean_pH","Mean_Temp","Mean_WithOutliers_Respiration_Rate_mg_DO_per_L_per_H","Mean_WithOutliers_Respiration_Rate_mg_DO_per_kg_per_H","Mean_OutliersRemoved_Respiration_Rate_mg_DO_per_L_per_H","Mean_OutliersRemoved_Respiration_Rate_mg_DO_per_kg_per_H","Initial_Gravimetric_Water","Final_Gravimetric_Water","Lost_Gravimetric_Water","Mean_ATP_nanomol_per_L","Mean_ATP_picomol_per_g","Mean_Fe_mg_per_kg","Mean_Fe_mg_per_L","mean_npoc","mean_tn","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","mean_ssa"
"EC_063","D",120.54,6.95,20.66,0.306,0.925,0.383,1.157,0.203076490485251,0.0481410413736619,0.154935449111589,29.882,95.386,0.672,0.222,8.16,1.162,6,44.3,47,97.3,1.9,0.8,2.17475
"EC_063","W",111.46,6.454,20.7,5.402,16.322,5.402,16.322,0.474899163242651,0.474899163242651,0,25.672,87.272,0.987,0.326,9.852,0.616,6,44.3,47,97.3,1.9,0.8,2.17475
"EC_064","D",290.68,7.326,20.98,0.741,4.402,0.741,4.402,1.22293857372389,0.949104684217031,0.273833889506859,47.574,144.456,0.12,0.02,2.908,1.392,7.2,15.2,67.7,90.1,2.3,7.6,2.01433333333333
"EC_064","W",308.18,7.244,20.94,107.522,638.832,107.522,638.832,1.5544439777772,1.5544439777772,0,40.052,148.044,0.273,0.046,3.23,0.862,7.2,15.2,67.7,90.1,2.3,7.6,2.01433333333333
"EC_065","D",31.956,5.78,19.58,3.593,12.223,3.593,12.223,0.345801931592121,0.228060564426017,0.117741367166103,21.144,65.224,0.552,0.162,1.93666666666667,0.266666666666667,14.2,52.1,26.9,93.2,4.9,1.9,11.5686666666667
"EC_065","W",33.34,5.968,19.44,6.212,21.393,6.212,21.393,0.483234530293173,0.483100302105254,0.000134228187919461,18.096,56.18,0.666,0.194,1.694,0.208,14.2,52.1,26.9,93.2,4.9,1.9,11.5686666666667
"EC_066","D",40.728,6.464,20.14,0.114,0.364,0.142,0.455,0.266421683054557,0.108597388226467,0.15782429482809,2.952,9.34,0.162,0.05,22.4216666666667,0.813333333333333,1.2,0.5,94.5,96.2,2.1,1.7,10.0276666666667
"EC_066","W",36.376,6.524,19.88,0.386,1.237,0.386,1.237,0.639326043359865,0.639326043359865,0,2.682,9.022,0.169,0.053,20.9616666666667,0.616666666666667,1.2,0.5,94.5,96.2,2.1,1.7,10.0276666666667
"EC_068","D",260.6,6.738,21.78,223.116,1407.746,223.116,1407.746,1.40731833517467,0.742339477873566,0.6649788573011,5.038,37.942,5.585,0.885,6.516,1.24,14.3,0.9,6.9,22.1,26.9,51,57.538
"EC_068","W",308.76,6.824,21.82,260.291,1644.955,260.291,1644.955,1.78575358351905,1.78575358351905,0,2.932,23.888,7.201,1.14,7.362,1.416,14.3,0.9,6.9,22.1,26.9,51,57.538
